x,Curve1
1.43918,1.052
1.44736,2.5654
1.45749,3.9687
1.47982,14.416
1.49196,21.471
1.50015,54.39
1.5083,105.63
1.51646,221.34
1.52863,429.9
1.5388,851
1.54896,1622
1.56925,4967
1.59151,10608
1.59965,18388
1.61581,25874
1.63599,34395
1.65614,37113
1.6783,38556
1.70247,40056
1.72261,40063
1.73672,41618
1.75686,4.242e+04
1.78103,4.243e+04
1.79917,4.492e+04
1.81528,4.579e+04
1.83744,4.668e+04
1.85759,4.942e+04
1.87774,5.232e+04
1.8999,5.334e+04
1.91802,5.335e+04
1.94422,5.756e+04
2.05703,7.099e+04
2.13963,7.812e+04
2.20007,8.926e+04
2.27461,1.02e+05
2.34109,1.1437e+05
2.39347,1.2581e+05
2.43175,1.3837e+05
2.46802,1.611e+05
2.50227,1.6738e+05
2.56471,1.6748e+05
2.64326,1.7081e+05
2.72383,1.7422e+05
2.78425,1.8106e+05
2.8487,1.7442e+05
2.89704,1.8125e+05
2.9474,1.8481e+05
2.98164,1.8841e+05
2.99977,1.849e+05
